"pdfNumber","pdfQuestion","pdfAnswer"
"215","¿Cuál es la causa de la mayoría de las muertes en la hora siguiente al accidente?","Hemorragias y asfixias."
"218","¿En qué zona del cuerpo hay que realizar el masaje cardiaco a un herido de accidente de tráfico?","En el borde inferior de las costillas, sobre el centro del pecho."
"219","¿Cómo se deben colocar las manos y los brazos para efectuar un masaje cardiaco a un herido de accidente de tráfico?","La parte posterior de la palma de una mano sobre el pecho, la otra colocada sobre la primera y los brazos rectos y perpendiculares al pecho del herido."
"220","¿Con qué otra acción se debe combinar el masaje cardiaco a un herido de accidente de tráfico para que surta efecto?","Con respiración boca a boca."
"222","¿Cómo hay que colocar al herido para practicarle la respiración boca a boca?","Boca arriba."
"227","¿Dónde se deberá dejar estacionado el vehículo propio en caso de parar para auxiliar en un accidente?","Fuera de la calzada."
"228","¿Hacia dónde deberán apuntar las luces de nuestro vehículo en caso de parar para auxiliar en un accidente por la noche?","Perpendiculares a la calzada, tratando de iluminar los coches siniestrados."
"229","Para señalizar el obstáculo que representa un vehículo accidentado en una vía de doble sentido, ¿dónde deberán colocarse los triángulos de preseñalización de peligro no luminosos (que no disponen de alimentación eléctrica)?","Uno por delante y otro por detrás, como mínimo a 50 metros del vehículo accidentado."
"239","Entre las siguientes, ¿cuál es la primera medida que debe adoptar el conductor de un vehículo que haya sufrido una avería mecánica, la cual le impida continuar el viaje?","Señalizar el vehículo y adoptar las medidas para retirarlo."
"240","¿Cuál es, de las siguientes, la primera medida que deberá adoptar un conductor de un vehículo cuya carga haya caído sobre la vía?","Apartar el vehículo para evitar un riesgo mayor."
"243","¿A qué distancia mínima del vehículo es conveniente que se sitúen los pasajeros de un autobús después de ser evacuados?","30 m."
"244","¿Hacia dónde es conveniente conducir a los pasajeros de un autobús después de ser evacuados, si hubiese riesgo de un derrame de sustancias peligrosas?","En dirección contraria al viento."
"246","Si un conductor sufre una agresión inevitable, ¿debe hacer uso de elementos de defensa?","Sí, de forma proporcionada a la agresión."
"249","¿Qué acciones comprende el protocolo de actuación ante emergencias denominado PAS?","Proteger, alertar y socorrer."
"253","¿Qué acción es la correcta ante un episodio de violencia verbal durante la conducción?","Mantener la calma."
"254","¿Qué se debe hacer ante un conductor agresivo en la carretera?","No aceptar ninguna clase de desafío."
"258","¿Se pueden tomar datos de los testigos en la declaración amistosa de accidente?","Sí."
"259","¿Qué datos referidos a los asegurados se deben hacer constar en la declaración amistosa de accidentes?","• Su nombre y apellidos. • Su dirección. • Su número de teléfono o correo electrónico. • Todas las respuestas son correctas."
"263","A la hora de restablecer la seguridad en la circulación en caso de haberse","producido un accidente, se debe: • desconectar inmediatamente el contacto del vehículo accidentado. • inmovilizar de forma segura los vehículos. • comprobar posibles derrames. • Todas las respuestas anteriores son correctas."
"266","¿Cuál es el orden de las actuaciones que se deben seguir en caso de accidente de circulación?","Preservar la seguridad de circulación, solicitar ayuda especializada y ayudar a las víctimas."
"269","Es aconsejable que la primera medida que tome un conductor en caso de sufrir un incidente mientras circula sea:","señalizar el vehículo y adoptar las medidas para retirarlo."
"270","¿A qué distancia deben colocarse los triángulos de señalización de peligro?","Al menos, a 50 metros."
"271","¿Qué número mínimo de extintores debe llevar un vehículo de transporte de mercancías de más de 20.000 kg de MMA, de acuerdo con la Orden de 27 de julio de 1999?","Dos."
"272","¿Qué regula la Orden de 27 de julio de 1999, sobre condiciones que deben reunir determinados extintores de incendios?","• Los tipos de extintor que deben llevar los vehículos de transporte de personas. • Los tipos de extintor que deben llevar los vehículos de transporte de mercancías. • Las respuestas A y B son correctas."
"273","¿En qué año se adhirió España al Protocolo de Declaración Amistosa de Accidente de Automóvil?","1987."
"277","¿Qué número de extintores debe llevar un autobús de más de 23 plazas que no efectúa transporte escolar?","Uno."
"279","¿Qué número de extintores debe llevar un camión de más 20.000 kg de MMA, de acuerdo con la Orden de 27 de julio de 1999?","Dos."
"282","Si durante el transporte el vehículo sufre el reventón de un neumático, puede considerarse que nos encontramos ante:","un incidente o anormalidad."
"283","Si durante el transporte de viajeros se produce el bloqueo de las puertas:","se procederá a la evacuación por las ventanas de socorro."
"284","Si durante el transporte se produce el reventón de un neumático:","los viajeros procurarán no descender del vehículo."
"286","¿Qué pauta de actuación, en caso de incendio de un vehículo mientras se circula, es correcta?","• Intentar sofocar el fuego con el extintor. • Evacuar el vehículo. • Solicitar ayuda con la radio o el teléfono. • Todas las actuaciones anteriores son correctas."
"287","¿Cómo puede denominarse la existencia de una avería mecánica durante un transporte?","Incidente."
"288","En caso de vuelco parcial de un autobús:","se procederá a la evacuación siguiendo las instrucciones del conductor."
"289","Al ejecutar la evacuación de un vehículo de transporte de viajeros se debe","tener en cuenta: • la circunstancia que provoca la evacuación. • el tipo de viajeros. • las vías de evacuación. • Todas las respuestas anteriores son correctas."
"290","¿Qué circunstancias ambientales pueden influir en la aparición de una conducta agresiva durante la conducción?","• Temperatura ambiente. • Ruido. • Congestión en el tráfico. • Todas las respuestas son correctas."
"291","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, el obligado a suscribir el seguro es:","el propietario del vehículo."
"293","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, los daños personales del conductor responsable del accidente:","nunca están cubiertos."
"294","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, los daños en la mercancía transportada en el vehículo responsable del accidente:","no serán indemnizados en ningún caso."
"295","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, en caso de circular un vehículo sin seguro puede acordarse:","el precinto por un mes."
"296","A efectos de la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, un vehículo se considera con estacionamiento habitual en España si:","su matrícula es española."
"297","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, en caso de inexistencia del seguro, la autoridad podrá ordenar el precinto del vehículo durante un plazo de:","un mes."
"298","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, ¿con qué será sancionado el incumplimiento de la suscripción de seguro?","Multa de 601 a 3.005 €."
"299","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, los daños sufridos por las mercancías transportadas en el vehículo responsable del accidente:","no serán objeto de indemnización en ningún caso."
"300","Cuando existan daños a las personas, el seguro obligatorio de responsabilidad","civil en la circulación cubrirá hasta: 70 millones de euros por siniestro."
"301","Cuando existan daños en los bienes, el seguro obligatorio de responsabilidad","civil en la circulación cubrirá hasta un máximo de: 15 millones de euros por siniestro."
"302","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, el seguro puede contratarlo:","cualquier persona interesada en el aseguramiento."
"303","Según la Ley de responsabilidad civil y seguro en la circulación de vehículo a motor, el fallecimiento del conductor del vehiculo causante del accidente:","no está cubierto por este seguro."
"308","De las siguientes situaciones, ¿cuál puede considerarse un incidente o anormalidad en el transporte?","Una avería de un manguito."
"310","Si el vehículo ha caído al agua:","si está totalmente sumergido, se evacuará una vez la presión interior y exterior del agua se iguale."
"313","¿Qué número de extintores debe llevar, como norma general, un autobús de más 23 plazas, incluido el conductor, dedicado a transporte escolar?","Dos."
"314","Un vehículo no específicamente destinado al servicio de auxilio en vía pública, ¿puede efectuar en algún caso la retirada de la vía de otro vehículo accidentado?","Sí, cuando sea preciso por razón de la masa o dimensiones del vehículo averiado."
"315","Un vehículo no específicamente destinado al servicio de auxilio en vía pública, ¿puede efectuar en algún caso la retirada de la vía de otro vehículo averiado?","Sí, cuando sea preciso por razón de la masa o dimensiones del vehículo averiado."
"316","La omisión de socorro a los afectados por un accidente de tráfico que se encuentren en peligro manifiesto y grave, cuando no suponga riesgo para nosotros ni para terceros:","es un delito."
"317","La omisión de socorro a los afectados por un accidente de tráfico:","es un delito cuando se encuentren en peligro manifiesto y grave y la ayuda no suponga riesgo para nosotros ni para terceros:"
"318","¿Pueden situarse los extintores del vehículo dentro de una taquilla?","Sí, siempre que se indique bien su emplazamiento y se faciliten los medios para que pueda ser extraído fácilmente."
"319","Se considera que un extintor es portátil cuando tiene un peso de hasta:","20 kg."
"320","¿Con qué periodicidad hay que realizar la verificación de los extintores?","Cada tres meses."
"322","¿Quién puede efectuar las operaciones de verificación trimestral de un extintor?","el propietario del extintor."
"323","¿Con qué periodicidad hay que realizar el retimbrado de los extintores?","Cada cinco años."
"325","En presencia de un accidente de tráfico:","no se debe modificar el estado de las cosas si hay heridos graves para evitar alterar pruebas, salvo que con ello se perjudique la seguridad de los heridos o de la circulación."
"326","El protocolo de actuación ante emergencias que se desarrolla en las fases de","proteger, avisar y socorrer se conoce como: PAS."
"327","En caso de verse implicado en un accidente de tráfico:","• conviene obtener información sobre los vehículos implicados en el mismo escenario del accidente. • conviene obtener información sobre las personas afectadas en el mismo escenario del accidente. • Las respuestas A y B son correctas."
"328","Las actuaciones realizadas en relación con un accidente de tráfico por los agentes de seguridad que intervienen en el mismo:","se recogen en el atestado del accidente."
"329","El atestado policial de un accidente de tráfico:","recoge las circunstancias del accidente."
"330","El atestado policial de un accidente de tráfico:","se debe realizar cuando haya heridos o muertos."
"332","Una situación anormal se considera emergencia cuando puede dar lugar a daños:","a las personas, a los bienes o al medio ambiente."
"333","Si al circular con nuestro vehículo nos encontramos con un accidente:","estamos obligados a intentar ayudar."
"334","¿Dónde se deberá dejar estacionado el vehículo propio en caso de parar para auxiliar en un accidente?","En un lugar seguro a 50 metros del accidente."
"335","En caso de parar para auxiliar en un accidente de tráfico:","• estacionaremos en un lugar que no exija realizar maniobras bruscas. • evitaremos estacionar en cambios de rasante. • Las respuestas A y B son correctas."
"336","En caso de auxiliar en un accidente de tráfico:","se evitará mover a los heridos, salvo que estén expuestos a un peligro mayor."
"337","En caso de auxiliar en un accidente de tráfico, si algún airbag de los vehículos","accidentados no se ha activado: • debemos evitar apoyarnos sobre él. • debemos abstenernos de manipular la columna de dirección. • Las respuestas B y C son correctas."
"338","En caso de auxiliar en un accidente de tráfico:","si es imprescindible mover a los heridos, se hará asegurando la protección de la columna vertebral."
"339","En caso de auxiliar en un accidente de tráfico, conviene hacerlo:","• utilizando guantes. • utilizando mascarillas. • Las respuestas A y B son correctas."
"340","La protección de la zona en la que ha ocurrido un accidente de tráfico incluye comprobar:","que no haya riesgo de incendio."
"342","Mientras se presta ayuda en un accidente de tráfico:","no se debe fumar en la zona."
"344","En presencia de un accidente de tráfico, para avisar a los servicios de socorro:","se recomienda llamar al número 112."
"345","¿Qué características tiene el número de atención de emergencias 112?","Se puede conectar con él aunque nuestro teléfono no tenga cobertura para llamadas ordinarias en ese momento."
"346","En presencia de un accidente de tráfico, al avisar a los servicios de socorro, se recomienda:","comunicar el número de heridos y su estado."
"347","La tecnología e-Call:","permite que se efectúe una llamada automática de socorro en caso de accidente del vehículo."
"348","¿Qué combustible está implicado en un fuego de clase C?","Gases inflamables."
"349","¿Qué combustible está implicado en un fuego de clase D?","algunos metales, como el aluminio en polvo."
"350","Los fuegos que tienen como combustible un producto sólido licuable se clasifican:","en la clase B."
"351","El uso de hidrocarburos halogenados como agente extintor de un incendio:","está prohibido por dañar la capa de ozono."
"352","En relación con un incendio, ¿cómo se conoce al conjunto de combustible, comburente y calor?","Triángulo del fuego."
"353","Un fuego es:","una combustión rápida con emisión de mucho calor."
"354","La combustión rápida con emisión de luz y mucho calor se denomina:","fuego."
"355","¿De qué forma se puede generar en un vehículo la energía de activación que desencadena un fuego?","• Por choques. • Por rozamientos. • Por sobrecargas eléctricas. • Todas las respuestas son correctas."
"356","¿Qué elemento es el comburente habitual en los fuegos en vehículos?","El oxígeno del aire."
"357","¿A partir de qué nivel de concentración de oxígeno se desencadenará normalmente un fuego?","15 %."
"358","Un extintor resulta útil:","en fuegos incipientes."
"359","La eficacia de un extintor:","se indica mediante una combinación de números y letras."
"360","En la indicación de eficacia de un extintor:","figura un número que nos dice la carga máxima de combustible que puede estar implicada en un fuego que sea capaz de apagar."
"361","En la indicación de eficacia de un extintor:","figura una letra que nos dice la clase de fuego en la que es útil."
"362","¿Cuáles son los extintores más habituales?","Los de polvo polivalente."
"363","¿Qué tipo de extintores existen?","• De CO2. • De agua pulverizada. • De polvo químico. • Todas las respuestas son correctas."
"364","¿Qué tipo de extintor es más adecuado para apagar un fuego en un cuadro eléctrico?","El de CO2."
"365","¿Qué tipo de extintor es más adecuado para apagar un fuego en un aparato electrónico?","El de CO2."
"366","Los extintores de polvo ABC:","pueden dañar los equipos delicados."
"367","¿Cuál es el efecto en virtud del cual actúan los extintores de polvo químico?","Inhiben la reacción en cadena que se produce en el fuego."
"368","¿Cuál es un modo de apagar un incendio mediante sofocación?","• Recubrir el combustible que arde con espuma. • Desplazar el oxígeno de la zona del incendio con CO2. • Impedir la ventilación de la zona. • Todas las respuestas son correctas."
"369","¿Cuál es un modo de apagar un incendio por eliminación del combustible?","Refrigerar el combustible próximo al que se está quemando."
"370","Es una norma de uso de los extintores:","Comprobar, antes de utilizarlo, que el agente extintor es adecuado al tipo de fuego."
"372","¿Qué medida se recomienda adopte un conductor que es objeto de violencia verbal?","No encararse con el agresor."
"373","La conducta de un conductor que pone en riesgo la vida de otros usuarios de modo intencionado, en respuesta a una disputa de tráfico, se califica como:","conducción agresiva."
"374","La conducción agresiva:","• tiene su origen más profundo en la personalidad y estado emocional del sujeto. • se ve favorecida por factores ambientales. • Las respuestas B y C son correctas."
"375","Las conductas agresivas al volante:","se suelen producir en etapas sucesivas de agresividad creciente."
"376","¿Qué medida se recomienda adopte un conductor que es objeto de violencia física?","• Buscar una distancia de seguridad con el agresor. • Solicitar ayuda. • Hacer uso proporcionado de elementos de defensa. • Todas las respuestas son correctas."
"377","La extinción de un incendio por desalimentación consiste en:","• separar el combustible que lo alimenta. • eliminar el combustible que lo alimenta. • Las respuestas B y C son correctas."
"378","La extinción de un incendio por sofocación consiste en:","diluir o desplazar el oxígeno presente."
"379","El uso de los triángulos de señalización de peligro en caso de avería:","no se aconseja en el caso de autopistas y autovías."
"380","El uso de los triángulos de señalización de peligro en autopistas y autovías, en caso de avería:","no se recomienda. Objetivo 3.6: Poder adoptar comportamientos que contribuyan a valorar la imagen de marca de una empresa."
"6","¿Qué depende del buen estado del vehículo?","• La seguridad del conductor. • La seguridad de los pasajeros (en caso de transporte de viajeros). • La seguridad del resto de los usuarios de las carreteras. • Todas las respuestas anteriores son correctas."
"7","¿Qué documento no es obligatorio llevar a bordo del vehículo?","Póliza de seguro de responsabilidad civil."
"9","¿En qué caso de los siguientes se considera que una empresa de transporte ha prestado un servicio de calidad?","• Cuando el servicio que se ha dado alcanza el nivel que la empresa se había propuesto. • Cuando el servicio ha dado respuesta a las necesidades del cliente. • Las respuestas A y B son correctas."
"10","¿Qué percepción interesa, fundamentalmente, a una empresa de transporte en lo que se refiere a la calidad de su servicio?","La de los clientes."
"11","La empresa de transportes es una empresa:","de servicios."
"12","Las Juntas Arbitrales del Transporte:","son gratuitas."
"16","¿Qué representa el cliente para el conductor de una empresa de transporte?","Entre sus interlocutores es el que más influye en la marcha de la empresa."
"19","¿Es aconsejable al circular pegarse al vehículo que nos precede?","No, ya que nos deja sin margen de reacción ante una reducción brusca en la velocidad de quien nos precede."
"20","¿Por qué conviene mirar periódicamente por los espejos retrovisores?","Para no ser sorprendidos por maniobras de otros vehículos."
"21","Para prevenir accidentes en el transporte de viajeros en autobús es importante","comprobar que: • los puntos de asidero para los viajeros están en buenas condiciones. • a cobertura del piso está en buenas condiciones. • los dispositivos de señalización de paradas o aviso al conductor están en buenas condiciones. • Todas las respuestas anteriores son correctas."
"23","¿Qué regla se debe seguir para garantizar una conducción más segura?","Observar el entorno."
"24","¿Qué acciones se corresponden con una conducción preventiva?","Estar preparado para reaccionar en menos tiempo."
"25","¿Qué distancia de seguridad es necesario dejar respecto del vehículo que nos precede para practicar una conducción preventiva?","La que nos garantice, al menos, 2 o 3 segundos de reacción."
"26","¿Qué distancia de seguridad es necesario tener respecto del vehículo que nos sigue para practicar una conducción preventiva?","La necesaria para poder frenar con tiempo y progresivamente de forma que el encendido de la luz de freno sirva de señal."
"27","¿Qué distancia de seguridad es necesario mantener respecto de los vehículos que circulan a los lados para practicar una conducción preventiva?","La necesaria para evitar las zonas de incertidumbre que puedan ser invadidas por otros usuarios."
"29","En una inspección de transporte en carretera, ¿puede ordenarse el traslado del vehículo a un taller?","Sí, si hay indicios fundados de manipulación de los instrumentos de control que haya obligación de llevar instalados en el vehículo."
"30","Cuando, a consecuencia de una inspección de transporte en carretera, deba ser","trasladado un vehículo en sentido distinto al de su marcha, la autoridad competente podrá ordenarlo siempre que el recorrido no sea superior a: 30 kilómetros."
"33","En un control en carretera, ¿está obligado el conductor a colaborar con el personal que realiza la inspección?","Sí, siempre."
"34","En un control en carretera, ¿debe el conductor permitir la inspección de la instalación del tacógrafo?","Sí, siempre."
"36","¿Pueden los agentes de control ordenar el traslado de un vehículo a un taller autorizado?","Sí, cuando existen indicios fundados de manipulación del aparato de control."
"38","¿Tiene el conductor obligación de conducir el vehículo hasta un taller autorizado para comprobar si existe una manipulación del tacógrafo, en caso de que lo ordenen los agentes de control?","Sí."
"39","¿Pueden los agentes de control trasladar el vehículo a un taller mecánico cualquiera en caso de indicios de una manipulación del tacógrafo?","No, tiene que ser un taller autorizado."
"41","¿En qué lugares se puede efectuar una inmovilización a un vehículo?","En el lugar donde se detecta la infracción o en el más cercano que reúna las condiciones necesarias."
"42","¿Pueden los agentes de control retener algún tipo de documentación durante el período que dure una inmovilización?","Sí, la documentación del vehículo, la de la carga y la autorización de transportes."
"43","¿Quién es el responsable de custodiar el vehículo y la carga durante el período que dure una inmovilización?","El transportista."
"44","¿Cuál de los siguientes no es un elemento proporcional en un servicio de transporte por lo que se refiere a su influencia en la percepción de calidad por parte de los clientes?","la disposición de un asiento para cada pasajero en los servicios interurbanos de larga distancia."
"45","Los elementos que, sin ser básicos, se consideran parte de un servicio normal y suponen una percepción de mayor calidad por el cliente se conocen como:","proporcionales."
"47","El nivel de calidad de servicio que más interesa a una empresa de transporte:","es el percibido por los clientes."
"48","¿Qué factor de los siguientes influye en la valoración que los clientes de una empresa de transporte hacen sobre la calidad del servicio recibido?","• Sus experiencias previas en servicios similares. • Las opiniones de su entorno. • La información que se les ha proporcionado. • Todas las respuestas son correctas."
"51","Los trabajadores de una empresa de transporte son parte importante de su imagen. ¿Qué aspecto no es relevante en ellos?","La estatura."
"52","¿Cuál de los siguientes no es un elemento básico en un servicio de transporte por lo que se refiere a su influencia en la percepción de calidad por parte de los clientes?","Tipo de lubricante que usan los vehículos."
"55","¿En qué elemento de los siguientes conviene que se centre la actividad de una empresa de transporte?","En la satisfacción del cliente."
"56","El servicio prestado por una empresa de transporte se valora por sus clientes en función de cómo actúa su personal y cómo presta el servicio, pero carece de importancia:","el color de los autobuses."
"58","¿Cuál de las siguientes afirmaciones es correcta en relación con el conductor de una empresa de transporte?","Representa a la empresa en las inspecciones en carretera."
"60","El conductor de un vehículo que sea objeto de una inspección de transporte en carretera, ¿debe facilitar cualquier documento relativo a las condiciones de prestación de ese transporte que sea necesario para verificar el cumplimiento de la legislación?","Sí, como representante de la empresa."
"61","¿Cuál es el factor que más influye en la imagen de marca de una empresa de transporte?","La calidad de sus servicios."
"62","¿Cuál de las siguientes es una característica diferenciadora de un servicio de transporte que puede suponer la percepción de un nivel de calidad superior por parte del cliente?","Un seguro complementario de la mercancía."
"63","¿Qué actuaciones comprende un servicio de transporte de mercancías?","• Efectuar una carga. • Realizar una ruta. • Efectuar una descarga. • Todas las respuestas anteriores son correctas."
"66","¿Cuál de los siguientes es un elemento básico en un servicio de transporte por lo que se refiere a su influencia en la percepción de calidad por parte de los clientes?","• Seguridad del vehículo. • Integridad de la carga. • Desarrollo completo del trayecto. • Todas las respuestas anteriores son correctas."
"67","De las siguientes características de un servicio de transporte, ¿cuál es uno de los elementos que afecta a la percepción de su calidad por parte de los clientes?","• La integridad de la carga. • El trato correcto por parte del conductor. • El desarrollo íntegro del trayecto. • Todas las respuestas anteriores son correctas."
"68","¿Cuál de los siguientes es uno de los factores en función del cual los clientes valorarán la calidad de servicio de una empresa de transporte?","• Competencia. • Fiabilidad del servicio. • Empatía. • Todas las respuestas anteriores son correctas."
"69","¿Cuál es uno de los momentos en el que se va formando la percepción del cliente sobre la calidad de un servicio de transporte?","• Al recibir las mercancías del transportista. • Al entregar las mercancías al transportista. • Al comprar un billete de viaje. • Todas las respuestas anteriores son correctas."
"71","De las siguientes opciones, ¿cuál no es un elemento relevante de cara a la percepción de calidad de los servicios de una empresa de transporte por parte del cliente?","Situación financiera."
"75","¿Cuál de los siguientes no suele ser un cliente difícil de una empresa de transportes?","El empático."
"77","Cuando en una inspección de transporte por carretera se detecte que un","vehículo muestra indicios fundados de exceso de peso, la autoridad competente podrá ordenar su traslado a una báscula, siempre que esta no se encuentre a una distancia superior a: 30 kilómetros en sentido distinto al de la marcha del vehículo."
"78","¿Un exceso de peso puede ser motivo de inmovilización de un vehículo?","Sí, si el exceso constituye falta grave o muy grave."
"79","¿Cuál de las siguientes afirmaciones, referida a la inmovilización de un vehículo en una inspección de transporte en carretera, no es cierta?","El conductor será conducido a presencia judicial."
"81","¿Cuál de los siguientes no es un documento que requiera un vehículo pesado de transporte de mercancías?","Libro de ruta, en los transportes interiores de mercancías."
"82","Un conductor profesional, cuando conduzca un vehículo pesado de transporte de mercancías o un autobús, debe llevar a bordo:","el certificado de conductor para la realización de la actividad de transporte, si es nacional de un Estado no perteneciente a la Unión Europea."
"83","¿Qué documentación personal es necesario que lleve a bordo del vehículo su conductor?","Tarjeta de cualificación profesional."
"92","¿Qué componentes de las Juntas Arbitrales del Transporte tendrán la condición de funcionarios?","El presidente y dos vocales, como máximo, pueden ser funcionarios."
"96","Los arbitrajes en materia de transportes:","serán gratuitos."
"97","Entre los elementos que hay que revisar en un vehículo no se encuentra:","el color uniforme de los equipajes."
"99","¿A quién corresponde, en una empresa de transporte, la responsabilidad del cuidado y limpieza del vehículo?","Al conductor."
"104","¿Qué debe tener en cuenta el conductor de un vehículo de transporte al planificar la ruta?","Las características de la carretera."
"106","Entre la documentación que se debe llevar obligatoriamente en el vehículo no se encuentra:","la declaración de porte del último transporte efectuado."
"107","Entre la documentación que se debe llevar obligatoriamente en el vehículo no se encuentra:","los albaranes de entrega del último servicio efectuado."
"108","¿Quién será el responsable de las infracciones que se cometan respecto de las normas de circulación durante la realización de un transporte?","El conductor."
"109","En un control de carretera, ¿se puede considerar al conductor un representante de la empresa?","Sí."
"111","¿Cuál es el factor que más influye en la imagen de marca de una empresa de transporte?","La calidad."
"112","¿Qué opinión sobre la calidad de su servicio es más relevante para una empresa de transporte?","La de los clientes."
"113","¿Qué dos aspectos en relación con las instalaciones de una empresa de transporte se consideran más relevantes de cara a la percepción de la calidad de sus servicios por parte de sus clientes?","El estado de conservación y limpieza."
"114","¿Qué aspecto de los empleados de una empresa de servicios resulta relevante de cara a la percepción de calidad por los clientes?","• La apariencia. • La actitud. • Los valores. • Todas las respuestas son correctas."
"116","¿Qué se entiende por ""competencia"" en la prestación de un servicio de transporte?","Conocimiento y habilidades necesarias para llevarlo a cabo correctamente."
"117","Los engaños a los clientes de un servicio de transporte afectan fundamentalmente a:","la credibilidad del servicio."
"118","¿Qué se entiende por ""calidad objetivo"" de un servicio de transporte?","La que la empresa tiene por objetivo ofrecer a los clientes."
"121","La presentación del empleado de una empresa ante un cliente debe iniciarse con:","el saludo."
"128","En una presentación personal, cuando nos refiramos a la empresa, debemos utilizar:","el plural."
"132","El nivel de calidad que fundamentalmente debe importar a una empresa de transporte es:","el nivel percibido por los clientes."
"136","¿Cuál no es un comportamiento recomendado en el trato con el cliente?","Hablar de nosotros, eso le dará confianza al cliente."
"137","Ante una inspección del vehículo en ruta, ¿cómo es considerado el conductor por la normativa española?","Representante legal de la empresa."
"139","¿Cuál es el principal objetivo de la conducción preventiva?","La anticipación a posibles situaciones de peligro, ganando tiempo y espacio de reacción."
"142","¿Qué caracteriza una conducción preventiva?","El evitar asumir riesgos que puedan desencadenar un accidente."
"143","Podrá procederse a la inmovilización de un vehículo en una inspección de transporte en carretera si:","falta el título habilitante para el transporte."
"144","En función de su influencia sobre el nivel de calidad percibido por los clientes, las características de un servicio de transporte se clasifican en:","básicas, proporcionales y atractivas."
"145","En función de su influencia sobre el nivel de calidad percibido por los clientes, se considera una característica básica de un servicio de transporte:","la puntualidad."
"146","En función de su influencia sobre el nivel de calidad percibido por los clientes, se considera una característica proporcional de un servicio de transporte:","la comodidad."
"147","La conducción preventiva tiene como objeto fundamental:","la anticipación a posibles situaciones de peligro."
"148","Para garantizar una circulación segura, será necesario:","observar el entorno, advertir las maniobras y ejecutarlas con precisión."
"149","La calidad que percibe el cliente de una empresa de transporte depende, entre otros elementos:","del trato que recibe por parte del conductor."
"150","Un aspecto relevante en la percepción por el cliente de la calidad de un servicio de transporte es:","la apariencia de los conductores."
"152","Un conductor profesional, cuando conduzca un vehículo pesado de transporte de mercancías o un autobús, debe llevar a bordo:","la tarjeta de cualificación profesional."
"159","¿Quién tiene facultades para organizar el trabajo de un conductor?","La dirección de su empresa."
"161","El conductor de un vehículo pesado de transporte de mercancías:","tiene obligación de acondicionar la carga si se lo ordenan los responsables de su empresa y se trata de servicios de paquetería."
"162","El conductor de un vehículo pesado de transporte de mercancías:","tiene obligación de participar en la carga y descarga si se lo ordenan los responsables de su empresa y el vehículo cuenta con grúa."
"163","El conductor de un vehículo pesado de transporte de mercancías:","debe realizar las labores de protección de la mercancía."
"164","Durante la realización del transporte, el conductor de un vehículo de transporte de mercancías:","es responsable del vehículo y de la mercancía transportada."
"166","El conductor de un vehículo frigorífico debe:","controlar el funcionamiento del equipo de frío."
"167","El conductor de un camión portavehículos:","debe ocuparse de cargar y sujetar los vehículos."
"168","¿Quién debe ocuparse del manejo de la grúa en un vehículo que vaya equipado con ella?","El conductor."
"169","El conductor de un vehículo de mudanzas:","debe colaborar en las tareas propias de la mudanza."
"170","¿Es función del conductor de un vehículo de transporte de mercancías cumplimentar algún tipo de documentación?","• Sí, en algunos casos documentos referidos al vehículo. • Sí, en algunos casos documentos referidos al transporte realizado. • Las respuestas B y C son correctas."
"171","Si se produce un vertido durante la carga de mercancía peligrosa en un vehículo, ¿quién debe efectuar su limpieza?","El cargador."
"172","¿Cuándo es obligatorio limpiar el interior de una cisterna que transporta mercancías peligrosas?","Antes de la próxima carga si de trata de un producto incompatible con el transportado anteriormente."
"173","La limpieza de un vehículo que ha transportado animales se hará:","en un centro especializado que necesita autorización."
"174","El centro que haya limpiado un vehículo que transportó animales:","expedirá un justificante que debe llevarse en el vehículo."
"175","¿Qué itinerario debe seguir un conductor para llevar a cabo el transporte que tenga encomendado?","El que le hayan fijado."
"176","En la limpieza de un vehículo que ha transportado animales:","se puede hacer una primera limpieza en seco si se considera necesario."
"177","¿Qué operación incluye la limpieza de un vehículo que ha transportado animales?","• Lavado a presión. • Aplicación de detergente. • Desinfección. • Todas las respuestas son correctas."
"178","¿Necesita algún cuidado especial la ropa del conductor de un vehículo que transporta animales?","Se debe cambiar o limpiar y desinfectar antes del siguiente transporte."
"179","El conductor de un autobús:","tiene obligación de dirigir la carga y descarga de equipajes."
"180","El conductor de un autobús:","tiene obligación de dirigir la carga y descarga de encargos."
"181","Durante la realización del transporte, el conductor de un autobús:","es responsable del vehículo."
"182","¿Es función del conductor de autobús cumplimentar algún tipo de documentación?","Sí, el libro de ruta cuando proceda."
"183","Señale la afirmación correcta, referida a los elementos básicos de un servicio de","transporte: Su incumplimiento resulta muy insatisfactorio para el cliente."
"184","Señale la afirmación correcta, referida a los elementos de un servicio de","transporte calificados como proporcionales: Su cumplimiento aumenta la satisfacción del cliente y su incumplimiento genera insatisfacción."
